,metadata.epub,metadata.cover,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.url,bibliography.author.name,bibliography.publication.day,bibliography.publication.month,bibliography.publication.year
785,https://www.gutenberg.org/ebooks/38594.epub3.images,https://www.gutenberg.org/cache/epub/38594/pg38594.cover.medium.jpg,en,Poetry,Poems,Text,513,38594,https://www.gutenberg.org/ebooks/38594,"Rilke, Rainer Maria",17,1,2012
786,https://www.gutenberg.org/ebooks/51273.epub3.images,https://www.gutenberg.org/cache/epub/51273/pg51273.cover.medium.jpg,en,,Advance Agent,Text,513,51273,https://www.gutenberg.org/ebooks/51273,"Anvil, Christopher",21,2,2016
787,https://www.gutenberg.org/ebooks/15000.epub3.images,https://www.gutenberg.org/cache/epub/15000/pg15000.cover.medium.jpg,en,Philosophy,The Life of Reason: The Phases of Human Progress,Text,512,15000,https://www.gutenberg.org/ebooks/15000,"Santayana, George",14,2,2005
788,https://www.gutenberg.org/ebooks/2488.epub3.images,https://www.gutenberg.org/cache/epub/2488/pg2488.cover.medium.jpg,en,"Submarines (Ships) -- Fiction,Science fiction,Sea stories,Underwater exploration -- Fiction",Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,Text,511,2488,https://www.gutenberg.org/ebooks/2488,"Verne, Jules",1,1,1870
789,https://www.gutenberg.org/ebooks/1094.epub3.images,https://www.gutenberg.org/cache/epub/1094/pg1094.cover.medium.jpg,en,"English drama;Historical drama;Timur, 1336-1405 -- Drama;Tragedies",Tamburlaine the Great — Part 1,Text,510,1094,https://www.gutenberg.org/ebooks/1094,"Marlowe, Christopher",1,11,1997
790,https://www.gutenberg.org/ebooks/28696.epub3.images,https://www.gutenberg.org/cache/epub/28696/pg28696.cover.medium.jpg,en,"Logic, Symbolic and mathematical",Symbolic Logic,Text,510,28696,https://www.gutenberg.org/ebooks/28696,"Carroll, Lewis",5,5,2009
791,https://www.gutenberg.org/ebooks/4070.epub3.images,https://www.gutenberg.org/cache/epub/4070/pg4070.cover.medium.jpg,en,"Norwegian drama -- Translations into English,Architects -- Drama",The Master Builder,Text,510,4070,https://www.gutenberg.org/ebooks/4070,"Ibsen, Henrik",1,5,2003
792,https://www.gutenberg.org/ebooks/51346.epub3.images,https://www.gutenberg.org/cache/epub/51346/pg51346.cover.medium.jpg,en,,Poem Outlines,Text,509,51346,https://www.gutenberg.org/ebooks/51346,"Lanier, Sidney",3,3,2016
793,https://www.gutenberg.org/ebooks/1227.epub3.images,https://www.gutenberg.org/cache/epub/1227/pg1227.cover.medium.jpg,en,"Instinct;Expression;Psychology, Comparative;Emotions",The Expression of the Emotions in Man and Animals,Text,508,1227,https://www.gutenberg.org/ebooks/1227,"Darwin, Charles",1,3,1998
794,https://www.gutenberg.org/ebooks/15492.epub3.images,https://www.gutenberg.org/cache/epub/15492/pg15492.cover.medium.jpg,en,"Wives -- Drama,Man-woman relationships -- Drama,Marriage -- Drama,Norwegian drama -- Translations into English",A Doll's House,Text,508,15492,https://www.gutenberg.org/ebooks/15492,"Ibsen, Henrik",29,3,2005
795,https://www.gutenberg.org/ebooks/1051.epub3.images,https://www.gutenberg.org/cache/epub/1051/pg1051.cover.medium.jpg,en,"Conduct of life -- Fiction,Humorous stories,Germany -- Fiction,Satire,Clothing and dress -- Fiction,Philosophers -- Fiction,Didactic fiction",Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,Text,507,1051,https://www.gutenberg.org/ebooks/1051,"Carlyle, Thomas",1,9,1997
796,https://www.gutenberg.org/ebooks/11000.epub3.images,https://www.gutenberg.org/cache/epub/11000/pg11000.cover.medium.jpg,en,"Epic poetry, Assyro-Babylonian",An Old Babylonian Version of the Gilgamesh Epic,Text,506,11000,https://www.gutenberg.org/ebooks/11000,"Clay, Albert Tobias",4,7,2006
797,https://www.gutenberg.org/ebooks/17976.epub3.images,https://www.gutenberg.org/cache/epub/17976/pg17976.cover.medium.jpg,en,"Philanthropists -- United States -- Biography;Carnegie, Andrew, 1835-1919;Industrialists -- United States -- Biography",Autobiography of Andrew Carnegie,Text,505,17976,https://www.gutenberg.org/ebooks/17976,"Carnegie, Andrew",13,3,2006
798,https://www.gutenberg.org/ebooks/25063.epub3.images,https://www.gutenberg.org/cache/epub/25063/pg25063.cover.medium.jpg,en,Ballad operas -- Librettos,The Beggar's Opera; to Which is Prefixed the Musick to Each Song,Text,503,25063,https://www.gutenberg.org/ebooks/25063,"Gay, John",13,4,2008
799,https://www.gutenberg.org/ebooks/30325.epub3.images,https://www.gutenberg.org/cache/epub/30325/pg30325.cover.medium.jpg,en,Drawing,"The Elements of Drawing, in Three Letters to Beginners",Text,503,30325,https://www.gutenberg.org/ebooks/30325,"Ruskin, John",24,10,2009
800,https://www.gutenberg.org/ebooks/1298.epub3.images,https://www.gutenberg.org/cache/epub/1298/pg1298.cover.medium.jpg,en,"Cowboys -- Fiction,Wyoming -- Fiction,Western stories,Vigilantes -- Fiction,Cattle stealing -- Fiction",The Virginian: A Horseman of the Plains,Text,502,1298,https://www.gutenberg.org/ebooks/1298,"Wister, Owen",1,5,1998
801,https://www.gutenberg.org/ebooks/7524.epub3.images,https://www.gutenberg.org/cache/epub/7524/pg7524.cover.medium.jpg,en,"Agricola, Gnaeus Julius, 40-93;Germanic peoples -- Early works to 1800;Statesmen -- Rome -- Biography -- Early works to 1800",The Germany and the Agricola of Tacitus,Text,502,7524,https://www.gutenberg.org/ebooks/7524,"Tacitus, Cornelius",1,2,2005
802,https://www.gutenberg.org/ebooks/3755.epub3.images,https://www.gutenberg.org/cache/epub/3755/pg3755.cover.medium.jpg,en,"Monarchy,United States -- Politics and government -- 1775-1783,Political science",Common Sense,Text,501,3755,https://www.gutenberg.org/ebooks/3755,"Paine, Thomas",1,2,2003
803,https://www.gutenberg.org/ebooks/3361.epub3.images,https://www.gutenberg.org/cache/epub/3361/pg3361.cover.medium.jpg,en,Conduct of life,"Letters to His Son, Complete: On the Fine Art of Becoming a Man of the World and a Gentleman",Text,500,3361,https://www.gutenberg.org/ebooks/3361,"Chesterfield, Philip Dormer Stanhope, Earl of",12,10,2004
804,https://www.gutenberg.org/ebooks/51255.epub3.images,https://www.gutenberg.org/cache/epub/51255/pg51255.cover.medium.jpg,en,,Chain Reaction,Text,500,51255,https://www.gutenberg.org/ebooks/51255,"Ellanby, Boyd",20,2,2016
805,https://www.gutenberg.org/ebooks/51448.epub3.images,https://www.gutenberg.org/cache/epub/51448/pg51448.cover.medium.jpg,en,,The Border and the Buffalo: An Untold Story of the Southwest Plains,Text,499,51448,https://www.gutenberg.org/ebooks/51448,"Cook, John R.",14,3,2016
806,https://www.gutenberg.org/ebooks/9830.epub3.images,https://www.gutenberg.org/cache/epub/9830/pg9830.cover.medium.jpg,en,"Psychological fiction,Alcoholics -- Fiction,Married people -- Fiction,New York (N.Y.) -- Fiction,Inheritance and succession -- Fiction,Domestic fiction,Socialites -- Fiction,Young men -- Fiction",The Beautiful and Damned,Text,499,9830,https://www.gutenberg.org/ebooks/9830,"Fitzgerald, F. Scott (Francis Scott)",1,2,2006
807,https://www.gutenberg.org/ebooks/4078.epub3.images,https://www.gutenberg.org/cache/epub/4078/pg4078.cover.medium.jpg,en,"London (England) -- History -- 1800-1950 -- Fiction;Conduct of life -- Fiction;Paranormal fiction;Portraits -- Fiction;Appearance (Philosophy) -- Fiction;Supernatural -- Fiction;Great Britain -- History -- Victoria, 1837-1901 -- Fiction;Didactic fiction",The Picture of Dorian Gray,Text,497,4078,https://www.gutenberg.org/ebooks/4078,"Wilde, Oscar",1,5,2003
808,https://www.gutenberg.org/ebooks/43855.epub3.images,https://www.gutenberg.org/cache/epub/43855/pg43855.cover.medium.jpg,en,,"Franklin's Way to Wealth: or, 'Poor Richard Improved'",Text,497,43855,https://www.gutenberg.org/ebooks/43855,"Franklin, Benjamin",1,10,2013
809,https://www.gutenberg.org/ebooks/7256.epub3.images,https://www.gutenberg.org/cache/epub/7256/pg7256.cover.medium.jpg,en,"Gifts -- Fiction,Short stories,Christmas stories",The Gift of the Magi,Text,497,7256,https://www.gutenberg.org/ebooks/7256,"Henry, O.",1,1,2005
810,https://www.gutenberg.org/ebooks/16527.epub3.images,https://www.gutenberg.org/cache/epub/16527/pg16527.cover.medium.jpg,ru,"Word problems (Mathematics);Mathematics -- Problems, exercises, etc.",1001 zadacha dlia umstvennogo scheta,Text,496,16527,https://www.gutenberg.org/ebooks/16527,"Rachinskii, Sergei Aleksandrovich",14,8,2005
811,https://www.gutenberg.org/ebooks/51374.epub3.images,https://www.gutenberg.org/cache/epub/51374/pg51374.cover.medium.jpg,en,,The Golden Gems of Life: Gathered Jewels for the Home Circle,Text,493,51374,https://www.gutenberg.org/ebooks/51374,"Ferguson, S. C.",6,3,2016
812,https://www.gutenberg.org/ebooks/51445.epub3.images,https://www.gutenberg.org/cache/epub/51445/pg51445.cover.medium.jpg,en,,Sordman the Protector,Text,491,51445,https://www.gutenberg.org/ebooks/51445,"Purdom, Tom",14,3,2016
